n_held_out_pts,n_held_out_anomalies,Precision,Recall,F1,ROC-AUC,AUPR,Dataset,Condition,batch_idx
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5322207546246794,0.09224529292324248,NYC-Taxi,Static (no FT),-1
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5315218986519068,0.09211503783894148,NYC-Taxi,Naive continual,0
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5311025850682433,0.09196314629219499,NYC-Taxi,Naive continual,1
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5309069053958669,0.09195476748614678,NYC-Taxi,Naive continual,2
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5303548091773767,0.09180717643380593,NYC-Taxi,Naive continual,3
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5292576053001237,0.09147404977699732,NYC-Taxi,Naive continual,4
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.528411989573069,0.09136299273459574,NYC-Taxi,Naive continual,5
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5273916598528209,0.09103646448851636,NYC-Taxi,Naive continual,6
1340,117,0.07692307692307693,0.10256410256410256,0.08791208791208792,0.5265670098049493,0.09085493460278438,NYC-Taxi,Naive continual,7
1340,117,0.07692307692307693,0.10256410256410256,0.08791208791208792,0.5255327029652459,0.09054451786244315,NYC-Taxi,Naive continual,8
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5236318147193044,0.09004136012069716,NYC-Taxi,Naive continual,9
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5315218986519068,0.09211495200073591,NYC-Taxi,Continual + Gemini,0
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5312074134641591,0.09199229584135013,NYC-Taxi,Continual + Gemini,1
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5310746308293324,0.09200389343292417,NYC-Taxi,Continual + Gemini,2
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5304386718941092,0.09181770123417805,NYC-Taxi,Continual + Gemini,3
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5293274908974009,0.09148211308387127,NYC-Taxi,Continual + Gemini,4
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5284469323717075,0.09136415352208457,NYC-Taxi,Continual + Gemini,5
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5276572251224745,0.09108789645798909,NYC-Taxi,Continual + Gemini,6
1340,117,0.07692307692307693,0.10256410256410256,0.08791208791208792,0.5270212661872514,0.09094169693676239,NYC-Taxi,Continual + Gemini,7
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5258122453543549,0.09058376159405632,NYC-Taxi,Continual + Gemini,8
1340,117,0.07643312101910828,0.10256410256410256,0.08759124087591241,0.5238484600708639,0.09005058865478047,NYC-Taxi,Continual + Gemini,9
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5312423562627977,0.09202846562241285,NYC-Taxi,Continual + Gemini + RL,0
1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5308160541194065,0.09189221183533904,NYC-Taxi,Continual + Gemini + RL,1
1340,117,0.08125,0.1111111111111111,0.09386281588447654,0.5305854316483916,0.09183937449662367,NYC-Taxi,Continual + Gemini + RL,2
1340,117,0.08125,0.1111111111111111,0.09386281588447654,0.5300892439077229,0.09170755893255508,NYC-Taxi,Continual + Gemini + RL,3
1340,117,0.08024691358024691,0.1111111111111111,0.0931899641577061,0.5300682782285399,0.09170960040257994,NYC-Taxi,Continual + Gemini + RL,4
1340,117,0.07975460122699386,0.1111111111111111,0.09285714285714286,0.5298516328769803,0.09166751257830998,NYC-Taxi,Continual + Gemini + RL,5
3238,11,0.0,0.0,0.0,0.7084542355692028,0.005854443692699488,NAB-machine_temperature_system_failure,Static (no FT),-1
3238,11,0.0,0.0,0.0,0.7077499507000591,0.0058412363012242865,NAB-machine_temperature_system_failure,Naive continual,0
3238,11,0.0,0.0,0.0,0.7075245795419332,0.005837659588670365,NAB-machine_temperature_system_failure,Naive continual,1
3238,11,0.0,0.0,0.0,0.7047074400653576,0.0057809025395129535,NAB-machine_temperature_system_failure,Naive continual,2
3238,11,0.0,0.0,0.0,0.7022847001155026,0.00573483974859154,NAB-machine_temperature_system_failure,Naive continual,3
3238,11,0.0,0.0,0.0,0.7023973856945657,0.00573686637563183,NAB-machine_temperature_system_failure,Naive continual,4
3238,11,0.0,0.0,0.0,0.7015522438515931,0.005720520488277914,NAB-machine_temperature_system_failure,Naive continual,5
3238,11,0.0,0.0,0.0,0.7018621291940164,0.005726511305022192,NAB-machine_temperature_system_failure,Naive continual,6
3238,11,0.0,0.0,0.0,0.7011296729301068,0.005712751313132328,NAB-machine_temperature_system_failure,Naive continual,7
3238,11,0.0,0.0,0.0,0.7009606445615123,0.005709406866874213,NAB-machine_temperature_system_failure,Naive continual,8
3238,11,0.0,0.0,0.0,0.7007352734033861,0.005705146116565352,NAB-machine_temperature_system_failure,Naive continual,9
3238,11,0.0,0.0,0.0,0.699946474349945,0.005689175916185476,NAB-machine_temperature_system_failure,Naive continual,10
3238,11,0.0,0.0,0.0,0.6995802462179902,0.005681818616090616,NAB-machine_temperature_system_failure,Naive continual,11
3238,11,0.0,0.0,0.0,0.7002281882976025,0.005694985260268293,NAB-machine_temperature_system_failure,Naive continual,12
3238,11,0.0,0.0,0.0,0.6990449897174409,0.005673432472885008,NAB-machine_temperature_system_failure,Naive continual,13
3238,11,0.0,0.0,0.0,0.6983688762430628,0.0056605362003308915,NAB-machine_temperature_system_failure,Naive continual,14
3238,11,0.0,0.0,0.0,0.6945093951601544,0.005587734330167025,NAB-machine_temperature_system_failure,Naive continual,15
3238,11,0.0,0.0,0.0,0.6909597994196692,0.005524793107901559,NAB-machine_temperature_system_failure,Naive continual,16
3238,11,0.0,0.0,0.0,0.691438713130687,0.005532901399224251,NAB-machine_temperature_system_failure,Naive continual,17
3238,11,0.0,0.0,0.0,0.6902836859452911,0.005511811983916106,NAB-machine_temperature_system_failure,Naive continual,18
3238,11,0.0,0.0,0.0,0.6906780854720117,0.005518957279452943,NAB-machine_temperature_system_failure,Naive continual,19
3238,11,0.0,0.0,0.0,0.689832943629039,0.005503603881824934,NAB-machine_temperature_system_failure,Naive continual,20
3238,11,0.0,0.0,0.0,0.6891568301546609,0.0054920047724649765,NAB-machine_temperature_system_failure,Naive continual,21
3238,11,0.0,0.0,0.0,0.6887060878384089,0.005483578399357285,NAB-machine_temperature_system_failure,Naive continual,22
3238,11,0.0,0.0,0.0,0.6871566611262923,0.005457657522370162,NAB-machine_temperature_system_failure,Naive continual,23
3238,11,0.0,0.0,0.0,0.6867622615995718,0.005450691591271715,NAB-machine_temperature_system_failure,Naive continual,24
